class,predicate,distinct_objects,total_objects,uniqueness
AdministrativeRegion,largestCityWl,1988,2473,0.803882
AdministrativeRegion,areaCode,1980,5953,0.332605
Person,placeOfBurial,1978,2867,0.689920
Species,placeOfBurial,1978,2867,0.689920
Person,constituencyAm,1977,4057,0.487306
Species,constituencyAm,1977,4057,0.487306
Galaxy,label,1964,1964,1.000000
Person,lieutenant,1942,2279,0.852128
Species,lieutenant,1942,2279,0.852128
Star,absmagV,1937,3546,0.546249
Species,w,1931,2264,0.852915
Person,w,1928,2261,0.852720
Person,bishop,1923,1953,0.984639
Species,bishop,1923,1953,0.984639
Person,appointer,1915,9743,0.196551
Species,appointer,1915,9743,0.196551
AdministrativeRegion,title,1908,2515,0.758648
AdministrativeRegion,city,1901,2092,0.908700
Person,coronation,1899,2336,0.812928
Species,coronation,1899,2336,0.812928
ChemicalCompound,imagealt,1893,2165,0.874365
Person,deathYear,1887,136964,0.013777
Species,deathYear,1887,136964,0.013777
Galaxy,name,1872,1886,0.992577
AdministrativeRegion,elevationM,1860,4332,0.429363
Person,field,1859,13586,0.136832
Species,field,1859,13586,0.136832
Species,note,1857,5802,0.320062
AdministrativeRegion,areaTotalSqMi,1847,3487,0.529682
Species,mmfm,1832,3695,0.495805
Species,description,1831,1943,0.942357
Person,description,1828,1939,0.942754
Person,careerNumber,1821,3984,0.457078
Species,careerNumber,1821,3984,0.457078
AdministrativeRegion,demographics1Info,1820,3136,0.580357
Person,coatOfArms,1815,1932,0.939441
Person,note,1815,5760,0.315104
Species,coatOfArms,1815,1932,0.939441
Star,pError,1815,4821,0.376478
AdministrativeRegion,populationDensityKm,1813,18361,0.098742
Person,vicepresident,1808,2421,0.746799
Species,vicepresident,1808,2421,0.746799
AdministrativeRegion,imageShield,1805,1837,0.982580
AdministrativeRegion,foundingDate,1790,3197,0.559900
Person,fightingOutOf,1789,4349,0.411359
Species,fightingOutOf,1789,4349,0.411359
Galaxy,caption,1789,1835,0.974932
Person,significantProjects,1773,1861,0.952714
Species,significantProjects,1773,1861,0.952714
Species,fmm,1761,3936,0.447409
Person,subject,1756,2988,0.587684
Species,subject,1756,2988,0.587684
Species,mfmm,1746,3693,0.472786
Star,radialV,1741,2240,0.777232
Person,championships,1729,8543,0.202388
Species,championships,1729,8543,0.202388
AdministrativeRegion,pushpinMapCaption,1728,5524,0.312817
Species,subfamilia,1719,22308,0.077058
AdministrativeRegion,areaLandSqMi,1709,3328,0.513522
Person,competitions,1703,4325,0.393757
Species,competitions,1703,4325,0.393757
Person,goals,1694,549948,0.003080
Species,goals,1694,549948,0.003080
Person,monarch,1692,13822,0.122414
Species,monarch,1692,13822,0.122414
Species,honours,1691,2812,0.601351
Species,ordo,1689,93261,0.018110
Person,currentMemberOf,1685,2503,0.673192
Species,currentMemberOf,1685,2503,0.673192
Person,minister,1681,2600,0.646538
Species,minister,1681,2600,0.646538
AdministrativeRegion,data,1673,1746,0.958190
AdministrativeRegion,postcode,1665,5371,0.309998
Person,debut,1661,3739,0.444236
Species,debut,1661,3739,0.444236
Species,hanja,1654,1857,0.890684
Person,hanja,1650,1845,0.894309
AdministrativeRegion,local,1646,1816,0.906388
Person,birthYear,1645,261547,0.006290
Person,bwfId,1645,2518,0.653296
Species,birthYear,1645,261547,0.006290
Species,bwfId,1645,2518,0.653296
Person,mainInterest,1641,6489,0.252890
Species,mainInterest,1641,6489,0.252890
