value,yago-4,yago-4.5.0.2,relative_change
nodes/http://yago-knowledge.org/resource/Geneva/entropy_weighted,0.328881,2.297675,5.986333
nodes/http://yago-knowledge.org/resource/Royal_Borough_of_Kensington_and_Chelsea/rank_weighted,149.000000,1038.000000,5.966443
nodes/http://yago-knowledge.org/resource/Iran/rank_shift,14.000000,97.000000,5.928571
nodes/http://yago-knowledge.org/resource/Jan-Pieter_Nitzsche_Q81621153/rank_shift,100.000000,684.000000,5.840000
nodes/http://yago-knowledge.org/resource/Ulrich_Sinn/rank_shift,99.000000,669.000000,5.757576
nodes/http://yago-knowledge.org/resource/Coimbra_Group/rank_shift,24.000000,161.000000,5.708333
nodes/http://yago-knowledge.org/resource/German_Academy_of_Sciences_at_Berlin/rank_shift,39.000000,259.000000,5.641026
nodes/http://yago-knowledge.org/resource/Union_of_South_American_Nations/rank_weighted,113.000000,748.000000,5.619469
nodes/http://yago-knowledge.org/resource/Masovian_Voivodeship/rank_unweighted,34.000000,225.000000,5.617647
nodes/http://yago-knowledge.org/resource/Iran/rank_unweighted,57.000000,373.000000,5.543860
nodes/http://yago-knowledge.org/resource/Union_of_South_American_Nations/rank_unweighted,102.000000,665.000000,5.519608
nodes/http://yago-knowledge.org/resource/Lubusz_Voivodeship/rank_unweighted,71.000000,462.000000,5.507042
nodes/http://yago-knowledge.org/resource/West_Pomeranian_Voivodeship/rank_weighted,57.000000,367.000000,5.438596
nodes/http://yago-knowledge.org/resource/Iran/rank_weighted,43.000000,276.000000,5.418605
nodes/http://yago-knowledge.org/resource/Bryanston_School/rank_shift,21.000000,134.000000,5.380952
nodes/http://yago-knowledge.org/resource/International_Atomic_Energy_Agency/unweighted,0.552880,3.509510,5.347694
nodes/http://yago-knowledge.org/resource/Steglitz-Zehlendorf/rank_shift,-35.000000,152.000000,5.342857
nodes/http://yago-knowledge.org/resource/Union_between_Sweden_and_Norway/rank_shift,-33.000000,-209.000000,-5.333333
nodes/http://yago-knowledge.org/resource/Austria/entropy_weighted,0.280177,1.756269,5.268428
nodes/http://yago-knowledge.org/resource/Lithuania/unweighted,0.170239,1.064307,5.251859
nodes/http://yago-knowledge.org/resource/Silesian_Voivodeship/rank_weighted,37.000000,230.000000,5.216216
nodes/http://yago-knowledge.org/resource/University_of_Douai/rank_shift,26.000000,159.000000,5.115385
nodes/http://yago-knowledge.org/resource/European_Bank_for_Reconstruction_and_Development/rank_shift,-48.000000,-293.000000,-5.104167
nodes/http://yago-knowledge.org/resource/Georg_Nicolaus_Knauer/rank_shift,110.000000,670.000000,5.090909
nodes/http://yago-knowledge.org/resource/Paul_Martin/unweighted,0.323495,1.952878,5.036805
nodes/http://yago-knowledge.org/resource/University_College_London/rank_unweighted,260.000000,1563.000000,5.011538
nodes/http://yago-knowledge.org/resource/Stichting_Academisch_Erfgoed/rank_shift,31.000000,186.000000,5.000000
nodes/http://yago-knowledge.org/resource/Vereniging_van_Universiteiten/rank_shift,31.000000,186.000000,5.000000
nodes/http://yago-knowledge.org/resource/Bologna/unweighted,0.158500,0.950522,4.996982
nodes/http://yago-knowledge.org/resource/Denmark/entropy_weighted,0.159627,0.951100,4.958282
nodes/http://yago-knowledge.org/resource/Fellow_of_the_British_Academy/rank_shift,-39.000000,153.000000,4.923077
nodes/http://yago-knowledge.org/resource/European_Coal_and_Steel_Community/unweighted,0.210810,1.242081,4.891956
