node,entropy_weighted,unweighted,rank_weighted,rank_unweighted,rank_shift
Harold_Macmillan,0.52764599,0.67041353,217,325,108
Sherman_Packard,0.52744761,0.73239571,218,303,85
Federal_Information_Processing_Standards,0.52078181,3.03916155,219,85,-134
Template:NPG_name,0.51931206,1.00564691,220,236,16
Template:Election_box_gain_with_party_link,0.51898844,0.95393356,221,247,26
Template:Find_sources_mainspace,0.51605202,1.62559029,222,162,-60
Template:Flag_icon,0.51461851,0.97391336,223,245,22
Template:Rcat_shell,0.51281024,1.54831187,224,169,-55
Template:Infobox,0.50878211,1.29704786,225,204,-21
Nouri_al-Maliki,0.50384440,0.79940170,226,282,56
Template:Inflation,0.50138350,0.93758683,227,252,25
Template:Commons,0.49952214,0.95333893,228,248,20
New_South_Wales_Labor_Party,0.49892142,0.92694050,229,254,25
Template:Geographic_location,0.49875989,0.94949754,230,249,19
Template:Col-end,0.49815410,1.06536356,231,225,-6
Unincorporated_area,0.49739987,1.17582745,232,212,-20
Template:Wikiquote,0.49564703,0.98061126,233,242,9
H._H._Asquith,0.49406752,0.85435357,234,268,34
Spain,0.49325757,0.94639606,235,250,15
Template:More_citations_needed_section,0.48968096,0.98176826,236,241,5
Anthony_Eden,0.48896997,0.61978321,237,348,111
Template:Col-begin,0.48762768,1.04216285,238,227,-11
Template:Both,0.48744771,1.45266939,239,182,-57
Template:Infobox_chef,0.48479660,0.85691240,240,265,25
World_War_I,0.48471582,0.85528045,241,266,25
Template:PresHead,0.47868595,0.89311505,242,260,18
Template:PresRow,0.47868595,0.89311505,243,261,18
Template:Decrease,0.47799612,1.04120167,244,228,-16
Template:Taxonbar,0.47622077,0.86358661,245,262,17
Template:BLP_sources,0.47614143,0.84816820,246,270,24
Haider_al-Abadi,0.47533196,0.80374455,247,280,33
Template:Wiktionary,0.47268311,1.03459729,248,231,-17
Template:Transliteration,0.47109624,0.91082132,249,259,10
Template:R_with_history,0.46938790,1.45708846,250,179,-71
Eton_College,0.46747279,0.75311814,251,296,45
Template:ARint,0.46682026,0.81548649,252,274,22
Template:Multiple_issues,0.46576100,0.85517613,253,267,14
Template:Snd,0.46470031,0.93759634,254,251,-3
Prime_Minister_of_the_United_Kingdom,0.46282579,0.92671600,255,255,0
Template:Infobox_U.S._county,0.46131688,0.85040411,256,269,13
The_Honourable,0.45984322,1.12559561,257,218,-39
Template:Flagicon_image,0.45954510,0.86198069,258,264,6
Template:Update,0.45935184,0.93203166,259,253,-6
Kentucky,0.45929568,0.91785420,260,257,-3
North_Yorkshire_(district),0.45902365,1.39300860,261,191,-70
Template:PresFoot,0.45323546,0.80808147,262,277,15
Template:Better_source_needed,0.45104548,1.03985199,263,230,-33
Template:',0.44779438,0.81486014,264,275,11
Template:R_to_section,0.44602443,0.77609660,265,289,24
Template:Refimprove,0.44522802,0.81276230,266,276,10
Dick_Hinch,0.44284813,0.54917856,267,401,134
Template:Good_article,0.44102787,0.83631565,268,272,4
New_South_Wales_Liberal_Party,0.44015285,0.77141104,269,291,22
List_of_counties_in_Iowa,0.44012291,1.12506713,270,219,-51
Victorian_Liberal_Party,0.44001899,0.79875529,271,284,13
Template:Infobox_venue,0.43973852,0.78114115,272,288,16
Template:Native_name,0.43934064,0.86288825,273,263,-10
Template:Harvid,0.43914973,0.91236582,274,258,-16
"Trinity_College,_Cambridge",0.43591582,0.76139740,275,293,18
Gene_G._Chandler,0.43462063,0.53731850,276,410,134
Template:Dead_link,0.43326964,0.80516702,277,279,2
Template:Ushr,0.43205426,0.75109874,278,297,19
Template:Infobox_serial_killer,0.43185140,0.74157433,279,300,21
Tonypet_Albano,0.43184408,0.50019233,280,439,159
Census-designated_place,0.43094235,0.98346788,281,240,-41
Template:If_then_show,0.43044830,1.45989207,282,178,-104
Template:Quote,0.43001623,0.83908576,283,271,-12
Template:NewHampshire-NHRepresentative-Democratic-stub,0.42881066,0.77028734,284,292,8
Leslie_Wilson_(politician),0.42878264,0.49771548,285,443,158
Template:England-Conservative-UK-MP-1870s-stub,0.42662574,0.75736384,286,295,9
Freddie_Guest,0.42491429,0.50997825,287,431,144
Template:Yesno-no,0.42465430,1.29495592,288,205,-83
Template:FULLPAGENAME,0.42394044,1.31818737,289,199,-90
Template:End,0.42059915,0.99765361,290,237,-53
Template:Birth_year_and_age,0.41913570,0.73619726,291,301,10
"Charles_Dukes,_1st_Baron_Dukeston",0.41818654,0.49286495,292,449,157
Template:Kentucky,0.41791334,0.71936649,293,306,13
Template:Unreferenced,0.41785353,1.00952061,294,235,-59
Westminster,0.41709385,0.62752464,295,345,50
Template:Fact,0.41653770,0.79445169,296,285,-11
Queensland,0.41590779,0.59050361,297,369,72
"Charles_Vane-Tempest-Stewart,_7th_Marquess_of_Londonderry",0.41537832,0.48265401,298,460,162
Template:Infobox_criminal,0.40995040,0.69690929,299,314,15
President_of_the_Trades_Union_Congress,0.40916572,0.46874081,300,475,175
Template:Main_article,0.40697710,0.78985252,301,287,-14
Los_Angeles,0.40460811,0.59163231,302,366,64
Template:Rayment-bt,0.40455977,0.69666873,303,315,12
Edwin_Montagu,0.40205098,0.47304109,304,469,165
Template:CONTENTLANGUAGE,0.40096606,1.26808517,305,207,-98
Melbourne,0.39792491,0.57976719,306,378,72
"Los_Angeles_County,_California",0.39699708,0.56804260,307,386,79
Mary_Heath_(politician),0.39660009,0.45252068,308,497,189
Template:QldCurrentMPs,0.39614573,0.67691948,309,321,12
Template:NewHampshire-NHRepresentative-Republican-stub,0.39542265,0.67979192,310,320,10
Template:Red,0.39431276,1.90612844,311,143,-168
EuroLeague,0.39202044,0.71295202,312,308,-4
Template:Flagu,0.39124496,0.70938565,313,309,-4
George_V,0.38928699,0.79914716,314,283,-31
Baqir_Jabr_al-Zubeidi,0.38804878,0.44975409,315,501,186
Template:Infobox_road_small,0.38786376,0.64981444,316,334,18
Hugh_Dalton,0.38662283,0.45056962,317,498,181
Template:ROOTPAGENAME,0.38602631,1.65821606,318,157,-161
Kingdom_of_Iraq,0.38592600,0.60568202,319,355,36
Template:When,0.38543900,0.70552152,320,310,-10
Template:Sidebar_with_collapsible_lists,0.38439081,0.69966665,321,312,-9
Template:Doc,0.38438281,0.67523361,322,323,1
Template:More_footnotes_needed,0.38335275,0.66344793,323,327,4
Bonar_Law,0.38091406,0.55960395,324,392,68
Template:Quote_box,0.38073038,0.69698660,325,313,-12
Template:Sp,0.37987411,1.07271864,326,223,-103
Template:R_from_fictional_character,0.37982727,0.63380072,327,340,13
Template:VicCurrentMLAs,0.37857191,0.64548091,328,336,8
Edward_Timothy_Palmer,0.37844075,0.43221284,329,527,198
Template:Australia-LiberalNational-politician-stub,0.37792069,0.63361418,330,341,11
Cumbria,0.37676320,0.57752081,331,380,49
Template:Col-break,0.37569068,0.80530941,332,278,-54
Template:Tree_list,0.37528453,0.71846752,333,307,-26
Panathinaikos_B.C.,0.37491926,0.52950949,334,414,80
"Herbrand_Sackville,_9th_Earl_De_La_Warr",0.37376874,0.42726780,335,540,205
Victorian_Legislative_Assembly,0.37300601,0.68404423,336,319,-17
Template:Internet_Archive_author,0.37187735,0.67222002,337,324,-13
Template:Infobox_university,0.37055765,0.65808868,338,328,-10
end,0.37052921,0.70375059,339,311,-28
New_South_Wales,0.36893053,0.52314150,340,419,79
France,0.36863183,0.61956102,341,349,8
Steve_Shurtleff,0.36857207,0.43599500,342,517,175
Template:Expand_language,0.36753014,0.68994030,343,318,-25
"James_Stanhope,_7th_Earl_Stanhope",0.36712684,0.42370408,344,545,201
Template:Wide_image,0.36619599,0.72858005,345,304,-41
Template:Italic_title,0.36565630,0.61110408,346,352,6
"Geoffrey_FitzClarence,_5th_Earl_of_Munster",0.36528911,0.41911489,347,555,208
James_Chuter_Ede,0.36304527,0.41561866,348,559,211
Belgrade,0.36068613,0.49562383,349,444,95
Template:Expand_section,0.36023221,0.63225242,350,343,-7
Template:LAint,0.35937286,0.58958365,351,370,19
"Manchester,_New_Hampshire",0.35923238,0.66893315,352,326,-26
Faustino_Dy_III,0.35892608,0.44513523,353,508,155
Template:Wikisource,0.35850205,0.63586628,354,339,-15
Template:England-Conservative-UK-MP-1860s-stub,0.35802824,0.59832804,355,363,8
"Grafton_County,_New_Hampshire",0.35759326,0.49466895,356,445,89
"Frederick_Pethick-Lawrence,_1st_Baron_Pethick-Lawrence",0.35732076,0.41681101,357,558,201
David_Cote_(politician),0.35730652,0.43017892,358,532,174
Template:England-Conservative-UK-MP-1880s-stub,0.35670710,0.59861011,359,362,3
Template:Comma_separated_entries,0.35666207,0.98882292,360,238,-122
Template:Smaller,0.35663212,0.64454750,361,337,-24
Victoria_(state),0.35597097,0.51567232,362,426,64
Template:Pp-semi-indef,0.35575376,0.65259760,363,332,-31
Susan_Lawrence,0.35538182,0.40554197,364,584,220
"Edward_Wood,_1st_Earl_of_Halifax",0.35465697,0.42653052,365,541,176
Template:Cite_EB1911,0.35331818,0.65433347,366,330,-36
Francis_Dyke_Acland,0.35194342,0.40888768,367,576,209
Athens,0.35155777,0.50026950,368,438,70
Parliament_of_Queensland,0.35088131,0.63165288,369,344,-25
Template:Infobox_event,0.35031678,0.57044235,370,383,13
Template:LAinttop,0.35015671,0.57021988,371,384,13
Template:TALKPAGENAME,0.34992525,0.80361729,372,281,-91
Austen_Chamberlain,0.34986952,0.41088780,373,570,197
Template:Cite_encyclopedia,0.34967433,0.63806124,374,338,-36
Template:Infobox_civilian_attack,0.34895272,0.56757907,375,388,13
Template:Expand_list,0.34832448,0.60247007,376,359,-17
Template:Election_box_winning_candidate_with_party_link,0.34824251,0.58316627,377,374,-3
Template:Clade,0.34736561,0.56773647,378,387,9
Template:TemplateDataHeader,0.34682969,1.16053454,379,214,-165
Template:S-hon,0.34585927,0.60341670,380,358,-22
Anthony_Hawke,0.34527164,0.39231183,381,613,232
Duff_Cooper,0.34509200,0.40349968,382,590,208
Template:NSWCurrentMLAs,0.34499005,0.56960950,383,385,2
a,0.34470696,0.60056168,384,361,-23
Template:R,0.34436218,0.65387585,385,331,-54
Template:PM20,0.34383978,0.61688662,386,350,-36
"Christ_Church,_Oxford",0.34334204,0.55394780,387,397,10
Template:Jctgap,0.34329910,0.55601345,388,395,7
"Samuel_Hoare,_1st_Viscount_Templewood",0.34268544,0.39271177,389,611,222
Barcelona,0.34168717,0.49396719,390,447,57
Template:D&D_topics,0.34123600,0.55272104,391,398,7
Edward_Strauss,0.34093140,0.38663534,392,619,227
George_Lansbury,0.34072891,0.40339980,393,591,198
Template:Boroughs_of_Munich,0.34027571,0.55430888,394,396,2
Greece,0.33964003,0.61230133,395,351,-44
Murder,0.33962383,0.65051977,396,333,-63
New_South_Wales_Legislative_Assembly,0.33729255,0.58743409,397,373,-24
Leif_Jones,0.33496079,0.37889369,398,636,238
Template:Location_map,0.33412523,0.79361698,399,286,-113
"Balliol_College,_Oxford",0.33330297,0.51597219,400,425,25
W._C._Steadman,0.33317166,0.37794565,401,643,242
British_Army,0.33292209,0.69652250,402,316,-86
Fenerbahçe_S.K._(basketball),0.33251139,0.44882026,403,503,100
Template:Infobox_mapframe,0.33189192,0.75768528,404,294,-110
Ibrahim_al-Jaafari,0.33173009,0.40752081,405,581,176
Template:Dts,0.33111183,0.59585053,406,364,-42
National_Oceanic_and_Atmospheric_Administration,0.33101031,0.45827320,407,490,83
Template:Check_completeness_of_transclusions,0.33074883,0.53543257,408,411,3
Fuad_Masum,0.32994179,0.54076444,409,406,-3
Madrid,0.32966200,0.48932063,410,453,43
Public_university,0.32887567,0.60190147,411,360,-51
Politician,0.32764410,0.50608169,412,435,23
Archibald_Grove,0.32761883,0.36882460,413,669,256
Walter_Ayles,0.32758370,0.37144186,414,661,247
Template:Geographic_Location,0.32705853,0.58906239,415,371,-44
Arkansas,0.32670486,0.48368126,416,458,42
Template:NorthYorkshire-geo-stub,0.32658343,0.52275148,417,420,3
Template:Incomplete_list,0.32586516,0.54002502,418,408,-10
Arthur_Greenwood,0.32537009,0.38428724,419,623,204
Template:Automatic_taxobox,0.32479917,0.51990654,420,422,2
Charles_Summersby,0.32440986,0.36593985,421,676,255
Template:TOC_limit,0.32427490,0.64652861,422,335,-87
FC_Bayern_Munich_(basketball),0.32321979,0.42864319,423,536,113
Template:Australia-Labor-Victoria-MP-stub,0.32294050,0.51703349,424,424,0
Template:Infobox_Political_post,0.32158486,0.56302181,425,390,-35
Template:Pp-vandalism,0.32101200,0.63338889,426,342,-84
Malcolm_MacDonald,0.32061200,0.37631362,427,647,220
Template:Won,0.32043021,0.56367761,428,389,-39
Template:Army,0.32003034,0.57349742,429,381,-48
KK_Cibona,0.31981921,0.42227037,430,548,118
"Douglas_Clifton_Brown,_1st_Viscount_Ruffside",0.31899302,0.37474027,431,654,223
Monarchy_of_the_United_Kingdom,0.31845151,0.65701375,432,329,-103
Template:Japanese_folklore_long,0.31812581,0.50335616,433,437,4
Lords_Temporal,0.31722091,0.43116454,434,528,94
"New_College,_Oxford",0.31707515,0.46540248,435,478,43
"Sir_Charles_Trevelyan,_3rd_Baronet",0.31702043,0.35783081,436,697,261
Ben_Riley_(politician),0.31654715,0.36061843,437,687,250
"Bolton_Eyres-Monsell,_1st_Viscount_Monsell",0.31636651,0.35964915,438,692,254
Template:Clear_left,0.31508278,0.55891775,439,393,-46
British_people,0.31494739,0.69352808,440,317,-123
Brisbane,0.31476044,0.42281638,441,546,105
Memphis_Grizzlies,0.31475786,0.41548941,442,561,119
Template:Template_reference_list,0.31436452,0.50850382,443,433,-10
Template:Twitter,0.31316800,0.49932553,444,441,-3
Lakas–CMD,0.31242570,0.54057186,445,407,-38
Template:Sup,0.31232582,0.52604584,446,416,-30
Template:Interlanguage_link,0.31182222,0.51465434,447,427,-20
New_South_Wales_National_Party,0.31121007,0.47902951,448,464,16
Template:Note,0.31092599,0.52466091,449,417,-32
Template:Use_Philippine_English,0.31084996,0.54105813,450,405,-45
"Walter_Rea,_1st_Baron_Rea",0.30973639,0.35190154,451,716,265
New_York_City,0.30941419,0.48986476,452,452,0
Template:Nee,0.30909953,0.49384811,453,448,-5
Template:Infobox_military_person,0.30879173,0.50905181,454,432,-22
List_of_districts_and_neighborhoods_in_Los_Angeles,0.30825268,0.62691912,455,346,-109
List_of_members_of_the_House_of_Lords,0.30813192,0.40814040,456,580,124
Jalal_Talabani,0.30794322,0.46210327,457,486,29
Template:Fossil_range,0.30787403,0.48715837,458,456,-2
Template:Wikidata,0.30757024,0.60492926,459,356,-103
University_of_Oxford,0.30748049,0.59063501,460,368,-92
Charles_III,0.30691492,0.59131184,461,367,-94
Template:Mbox,0.30643245,0.74650024,462,298,-164
Harry_Crookshank,0.30622761,0.34748773,463,729,266
Template:More_footnotes,0.30590841,0.50440477,464,436,-28
Template:Col-2,0.30570931,0.56279283,465,391,-74
"Robert_Crewe-Milnes,_1st_Marquess_of_Crewe",0.30485885,0.35324800,466,710,244
Template:Featured_article,0.30471670,0.51091464,467,430,-37
Template:Haitian_political_parties,0.30458678,0.48498052,468,457,-11
Alec_Douglas-Home,0.30399351,0.36028364,469,688,219
Port-au-Prince,0.30384123,0.45456550,470,495,25
Lancashire,0.30353470,0.44692911,471,504,33
Template:Sfnp,0.30301314,0.54223279,472,404,-68
"TSR,_Inc.",0.30255227,0.44643523,473,505,32
Terie_Norelli,0.30208764,0.35138825,474,717,243
J._R._Clynes,0.30145127,0.37834242,475,638,163
Template:Election_box_registered_electors,0.30118150,0.48075376,476,463,-13
"Douglas_Hogg,_1st_Viscount_Hailsham",0.30114172,0.35214956,477,715,238
Template:One_source,0.30113305,0.48152587,478,462,-16
J._H._Thomas,0.30041832,0.35978161,479,690,211
Shawn_Jasper,0.29948271,0.38495084,480,622,142
"A._V._Alexander,_1st_Earl_Alexander_of_Hillsborough",0.29931940,0.34541207,481,738,257
Adil_Abdul-Mahdi,0.29898865,0.40970919,482,571,89
University_of_Melbourne,0.29819016,0.42818540,483,538,55
