class,predicate,distinct_objects,total_objects,uniqueness
AdministrativeRegion,sepPrecipitationMm,1465,2970,0.493266
Person,elite,1460,1469,0.993873
Species,elite,1460,1469,0.993873
Person,institutions,1459,3518,0.414724
Species,institutions,1458,3515,0.414794
AdministrativeRegion,enName,1457,1571,0.927435
Species,fmf,1454,4257,0.341555
AdministrativeRegion,image,1449,1479,0.979716
Person,weight,1441,105857,0.013613
Person,weight,1441,105857,0.013613
Species,weight,1441,105857,0.013613
Species,weight,1441,105857,0.013613
Person,field,1438,13942,0.103142
Species,field,1438,13942,0.103142
Person,skatingClub,1434,2458,0.583401
Species,skatingClub,1434,2458,0.583401
Person,soundRecording,1431,1431,1.000000
Species,soundRecording,1431,1431,1.000000
Person,students,1423,1557,0.913937
Species,students,1422,1556,0.913882
Species,mfmf,1419,3947,0.359514
AdministrativeRegion,replink,1411,1631,0.865113
AdministrativeRegion,change,1402,1983,0.707010
AdministrativeRegion,ruName,1399,1525,0.917377
Species,grandsire,1396,5438,0.256712
Person,suboffice,1392,5929,0.234778
Species,suboffice,1392,5929,0.234778
Person,boxrec,1388,1400,0.991429
Species,boxrec,1388,1400,0.991429
Star,mass,1388,4434,0.313036
Person,weight,1382,54676,0.025276
Species,weight,1382,54676,0.025276
Person,nba,1381,1382,0.999276
Species,nba,1381,1382,0.999276
AdministrativeRegion,admCtrName,1381,1432,0.964385
Person,hockeydb,1377,1385,0.994224
Species,fmmf,1377,3947,0.348873
Species,hockeydb,1377,1385,0.994224
Person,highestsinglesranking,1376,8353,0.164731
Species,highestsinglesranking,1376,8353,0.164731
Person,publicwhip,1374,1374,1.000000
Species,publicwhip,1374,1374,1.000000
AdministrativeRegion,areaWater,1374,3924,0.350153
Species,damsire,1373,3708,0.370280
Species,mff,1373,4256,0.322603
AdministrativeRegion,pushpinLabel,1370,1567,0.874282
Person,ruNtupdate,1365,2502,0.545564
Species,ruNtupdate,1365,2502,0.545564
AdministrativeRegion,demographics2Info,1363,2073,0.657501
Person,schoolTradition,1362,5059,0.269223
Species,schoolTradition,1362,5059,0.269223
AdministrativeRegion,pop2010census,1357,1379,0.984046
Person,curlingClub,1356,3945,0.343726
Species,curlingClub,1356,3945,0.343726
Person,1blankname,1353,13185,0.102617
Species,1blankname,1353,13185,0.102617
Person,authorAbbrevBot,1351,1352,0.999260
Person,footnotes,1351,2016,0.670139
Species,authorAbbrevBot,1351,1352,0.999260
Species,footnotes,1351,2016,0.670139
Person,honours,1345,2242,0.599911
Person,attributes,1343,2520,0.532937
Species,attributes,1343,2520,0.532937
Person,aflstatvalue,1339,4592,0.291594
Species,aflstatvalue,1339,4592,0.291594
Person,collegeteam,1334,4866,0.274147
Species,collegeteam,1334,4866,0.274147
AdministrativeRegion,marPrecipitationMm,1333,2967,0.449275
Person,clubupdate,1327,3491,0.380120
Species,clubupdate,1327,3491,0.380120
AdministrativeRegion,aprPrecipitationMm,1326,2968,0.446765
Species,mmff,1320,3947,0.334431
Person,headcoach,1314,2363,0.556073
Species,headcoach,1314,2363,0.556073
AdministrativeRegion,catholics,1313,1475,0.890169
Person,coach,1307,4215,0.310083
Species,coach,1307,4215,0.310083
AdministrativeRegion,settlementType,1302,28001,0.046498
Person,university,1296,4821,0.268824
Species,university,1296,4821,0.268824
Person,highestdoublesranking,1284,7658,0.167668
Species,highestdoublesranking,1284,7658,0.167668
AdministrativeRegion,imageView,1281,1286,0.996112
AdministrativeRegion,munFormation,1277,1369,0.932798
AdministrativeRegion,isoCodeRegion,1276,1397,0.913386
AdministrativeRegion,marSun,1271,1902,0.668244
AdministrativeRegion,leaderTitle,1263,10497,0.120320
Person,debutdate,1261,28332,0.044508
Species,debutdate,1261,28332,0.044508
Species,type,1256,39908,0.031472
AdministrativeRegion,janSun,1256,1903,0.660011
Person,type,1255,39906,0.031449
Person,committee,1250,1776,0.703829
Species,committee,1250,1776,0.703829
Species,altname,1241,1353,0.917221
Person,altname,1240,1352,0.917160
AdministrativeRegion,maySun,1240,1902,0.651945
Species,owner,1239,3694,0.335409
ChemicalCompound,imagefiler,1239,1401,0.884368
AdministrativeRegion,febSun,1239,1903,0.651077
AdministrativeRegion,octPrecipitationMm,1239,2971,0.417031
Person,formerPartner,1238,1515,0.817162
Species,formerPartner,1238,1515,0.817162
ChemicalCompound,imagefilel,1238,1408,0.879261
AdministrativeRegion,mayor,1238,1265,0.978656
Person,3a,1235,1583,0.780164
Species,3a,1235,1583,0.780164
Person,congbio,1228,1229,0.999186
Species,congbio,1228,1229,0.999186
Star,appmag,1226,1352,0.906805
AdministrativeRegion,junSun,1213,1902,0.637750
Species,cultivar,1210,1250,0.968000
Person,bbr,1207,1209,0.998346
Species,bbr,1207,1209,0.998346
AdministrativeRegion,octSun,1206,1903,0.633736
Person,patrons,1205,1364,0.883431
Species,honours,1205,6157,0.195712
Species,patrons,1205,1364,0.883431
AdministrativeRegion,aprSun,1201,1902,0.631441
AdministrativeRegion,decSun,1200,1902,0.630915
Person,riding,1197,3017,0.396752
Species,riding,1197,3017,0.396752
AdministrativeRegion,areaLandKm,1196,1250,0.956800
AdministrativeRegion,leader,1191,1308,0.910550
Person,restaurants,1190,1452,0.819559
Species,restaurants,1190,1452,0.819559
AdministrativeRegion,label,1185,9096,0.130277
Person,premier,1183,5361,0.220668
Species,premier,1183,5361,0.220668
Species,fmfm,1181,3946,0.299290
Person,teacher,1177,1677,0.701849
Species,teacher,1177,1677,0.701849
AdministrativeRegion,febPrecipitationMm,1176,2968,0.396226
Star,bV,1174,3358,0.349613
AdministrativeRegion,janPrecipitationMm,1171,2970,0.394276
Species,ffm,1165,4249,0.274182
Person,stat4value,1161,3207,0.362021
Species,stat4value,1161,3207,0.362021
Person,pid,1157,1173,0.986360
Species,pid,1157,1173,0.986360
Species,rr,1151,1227,0.938060
Person,regnalName,1149,1251,0.918465
Species,regnalName,1149,1251,0.918465
Person,artist,1147,1229,0.933279
Species,artist,1147,1229,0.933279
Person,rr,1145,1221,0.937756
Species,country,1145,56102,0.020409
Person,instrument,1138,25243,0.045082
Species,instrument,1138,25243,0.045082
Person,recruit,1137,1137,1.000000
Species,recruit,1137,1137,1.000000
Person,country,1136,50515,0.022488
Person,points,1136,39375,0.028851
Species,points,1136,39375,0.028851
AdministrativeRegion,novSun,1135,1903,0.596427
AdministrativeRegion,novPrecipitationMm,1133,2969,0.381610
AdministrativeRegion,sepSun,1131,1901,0.594950
AdministrativeRegion,decPrecipitationMm,1128,2968,0.380054
Person,pastexecutive,1126,1787,0.630106
Species,pastexecutive,1126,1787,0.630106
Person,currentPartner,1123,1260,0.891270
Species,currentPartner,1123,1260,0.891270
Person,bio,1121,1121,1.000000
Species,bio,1121,1121,1.000000
Person,supporters,1116,1481,0.753545
Species,supporters,1116,1481,0.753545
AdministrativeRegion,julSun,1116,1903,0.586442
Person,dynasty,1115,4892,0.227923
Species,dynasty,1115,4892,0.227923
Person,open,1109,2626,0.422315
Species,open,1109,2626,0.422315
Person,repupdate,1107,2503,0.442269
Species,repupdate,1107,2503,0.442269
Species,mffm,1106,3946,0.280284
